part_num,name,part_cat_id,part_material
10197,Technic Pin Connector Hub with 2 Perpendicular Axles,12,Plastic
10201,Bracket 1 x 2 - 1 x 4 [Rounded Corners],9,Plastic
10928,Technic Gear 8 Tooth [Reinforced],52,Plastic
11090,Bar Holder with Clip,32,Plastic
11153,Slope Curved 4 x 1 No Studs [Stud Holder with Symmetric Ridges],37,Plastic
11203,Tile Special 2 x 2 Inverted,15,Plastic
11208,"Wheel 14mm D. x 9.9mm with Centre Groove, Fake Bolts and 6 Spokes",29,Plastic
11211,Brick Special 1 x 2 with 2 Studs on 1 Side,5,Plastic
11212,Plate 3 x 3,14,Plastic
11213,Plate Round 6 x 6 with Hole,21,Plastic
11253,Sports Roller Skate,27,Plastic
11256,Hair Short Wavy with Side Part,65,Plastic
11458,Plate Special 1 x 2 with Pin Hole on Top,9,Plastic
11476,Plate Special 1 x 2 with Clip Horizontal on Side,9,Plastic
11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37,Plastic
11833,Plate Round 4 x 4 with 2 x 2 Round Opening,21,Plastic
12825,Tile Special 1 x 1 with Clip with Rounded Tips,15,Plastic
13547,Slope Curved 4 x 1 Inverted,37,Plastic
13548,Wedge Sloped 45° 2 x 2 Corner,6,Plastic
13731,Brick Curved 10 x 1 [Symmetric Inside Ridges],37,Plastic
13965,Brick Arch 1 x 3 x 3 [Gothic],37,Plastic
14226c31,String with End Studs 31L Overall,31,Plastic
14417,Plate Special 1 x 2 with 5.9mm Centre Side Towball,9,Plastic
14704,Plate Special 1 x 2 5.9mm Centre Side Towball Socket,9,Plastic
14716,Brick 1 x 1 x 3,11,Plastic
14718,Panel 1 x 4 x 2 with Side Supports - Hollow Studs,23,Plastic
14719,Tile 2 x 2 Corner,19,Plastic
14769,Tile Round 2 x 2 with Bottom Stud Holder,67,Plastic
14769pr0004,Tile Round 2 x 2 with Bottom Stud Holder with Fine Mesh Grille Print,67,Plastic
15068,Slope Curved 2 x 2 x 2/3,37,Plastic
15068pr0014,Slope Curved 2 x 2 x 2/3 with 'MUSEUM' Print,37,Plastic
15070,Plate Special 1 x 1 with Vertical Tooth,9,Plastic
15100,Technic Pin Connector Hub with 1 Pin with Friction Ridges Lengthwise,12,Plastic
15207,Panel 1 x 4 x 1 with Rounded Corners [Thin Wall],23,Plastic
15208,Plate Special 1 x 2 with Three Teeth [Tri-Tooth],9,Plastic
15209,Tile Special 1 x 2 with Two Vertical Teeth / Tooth,15,Plastic
15254,Brick Arch 1 x 6 x 2 - Thin Top without Reinforced Underside [New Version],37,Plastic
15332,Fence Spindled 1 x 4 x 2 [4 Top Studs],32,Plastic
15395,Brick Round 2 x 2 Dome Bottom [Open Stud],20,Plastic
15397,Plate 3 x 3 Cross,14,Plastic
15470,Plate Round 1 x 1 Swirled Top,21,Plastic
15535,Tile Round 2 x 2 with Hole,15,Plastic
15571,Slope 45° 2 x 1 Triple with Inside Stud Holder,3,Plastic
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),9,Plastic
15672,Slope 45° 2 x 1 with 2/3 Cutout [New Version],3,Plastic
15712,Tile Special 1 x 1 with Clip with Rounded Edges,15,Plastic
16577,Brick Arch 1 x 8 x 2 Raised,37,Plastic
1703,"Animal Body Part, Horse Head (Toy Horse) [PLAIN]",75,Plastic
1745,Plate Round 1 x 2 Half Circle with Stud (Jumper),9,Plastic
1748,Tile Round 1 x 2 Half Circle,67,Plastic
18575,Technic Gear 20 Tooth Double Bevel with Axle Hole Type 1 [+ Opening],52,Plastic
18646,Plate Round Half 3 x 6 with 1 x 2 Cutout,21,Plastic
18649,Plate Special 1 x 2 with Handles on Ends,9,Plastic
18653,Brick Arch 1 x 3 x 2 Inverted [Inside Bow],37,Plastic
18654,Technic Pin Connector Round 1L [Beam],12,Plastic
18674,Plate Special Round 2 x 2 with Center Stud (Jumper Plate),9,Plastic
18677,Plate Special 1 x 2 with Pin Hole Underneath,9,Plastic
18838,Brick Arch 1 x 12 x 3 Raised Arch with 5 Cross Supports,37,Plastic
18948,Technic Driving Ring Connector,12,Plastic
18970,"Animal Body Part, Clam / Scallop Half Shell with 4 Studs",75,Plastic
18978a,Wheel Cover 5 Spoke - for Wheel 18976,29,Plastic
18978b,Wheel Cover 10 Spoke - for Wheel 18976,29,Plastic
18980,Plate Round Corners 2 x 6 Double,21,Plastic
19119,"Plant, Flower Stem with Bar and 6 Stems",76,Plastic
1927,Hinge Plate 1 x 4 Swivel Top / Base - Hollow Clip [Complete Assembly],18,Plastic
20482,Tile Round 1 x 1 with Hollow Bar,15,Plastic
21229,Fence Spindled 4 x 4 x 2 Quarter Round with 3 Studs,32,Plastic
21268,Hair Short Swept Back with Sideburns and Widow's Peak,65,Plastic
22385,Tile Special 2 x 3 Pentagonal,15,Plastic
22388,Slope 45° 1 x 1 x 2/3 Quadruple Convex [Pyramid],3,Plastic
22885,Brick Special 1 x 2 x 1 2/3 with 4 Studs on 1 Side,5,Plastic
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,11,Plastic
22889,Slope Inverted 45° 6 x 2 Double with 2 x 4 Recessed,3,Plastic
22961,Technic Pin Connector Hub with 1 Axle,12,Plastic
2310,Slope 45° 2 x 1 Inverted with 2/3 Cutout,3,Plastic
23443,Bar Holder with Hole and Bar Handle,32,Plastic
2357,Brick 2 x 2 Corner,11,Plastic
23949,Slope 45° 2 x 6,3,Plastic
23950,Panel 1 x 3 x 1,23,Plastic
23969,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,23,Plastic
24122,Large Figure Weapon Lightsaber Hilt with Axle Hole and Two Bar Holders,12,Plastic
2412b,Tile Special 1 x 2 Grille with Bottom Groove,15,Plastic
2419,Wedge Plate 3 x 6 Cut Corners,49,Plastic
2420,Plate 2 x 2 Corner,14,Plastic
24201,Slope Curved 2 x 1 Inverted,37,Plastic
2423,"Plant, Leaves 4 x 3",76,Plastic
24246,Tile Round 1 x 1 Half Circle,67,Plastic
24246pr0055,Tile Round 1 x 1 Half Circle with Black/Light Bluish Grey Windows print,67,Plastic
24246pr0056,Tile Round 1 x 1 Half Circle with Black/Tan Windows print,67,Plastic
24299,Wedge Plate 2 x 2 Left,49,Plastic
24307,Wedge Plate 2 x 2 Right,49,Plastic
24309,Slope Curved 3 x 2 No Studs,37,Plastic
2431,Tile 1 x 4 with Groove,19,Plastic
24316,Technic Axle 3 with Stop,46,Plastic
2431pr0115,Tile 1 x 4 with Solar Panels Print,19,Plastic
2436,Bracket 1 x 2 - 1 x 4 [Square Corners],9,Plastic
2445,Plate 2 x 12,14,Plastic
24482,Weapon Spear Tip with Fins,73,Flexible Plastic
2449,Slope Inverted 75° 2 x 1 x 3,3,Plastic
2450,Wedge Plate 3 x 3 Cut Corner,49,Plastic
2453a,Brick 1 x 1 x 5 with Blocked Open or Hollow Stud,11,Plastic
2453b,Brick 1 x 1 x 5 with Solid Stud,11,Plastic
2454a,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,11,Plastic
2454b,Brick 1 x 2 x 5 with Hollow Studs,11,Plastic
2456,Brick 2 x 6,11,Plastic
2458,Brick Special 1 x 2 with Pin,5,Plastic
2460,Tile Special 2 x 2 with Top Pin,15,Plastic
2465,Brick 1 x 16,11,Plastic
2476a,Plate Special 2 x 2 with Pin on Bottom,9,Plastic
24855,"Plant, Flower Stem with Bottom Bar",76,Plastic
24866,"Plant, Flower, Plate Round 1 x 1 with 5 Petals",76,Plastic
24946,Food Egg with 1.5mm Hole [Plain],27,Plastic
25269,Tile Round 1 x 1 Quarter,67,Plastic
2540,Plate Special 1 x 2 Side Handle [Free Ends],9,Plastic
2566,"Bar, 4 Top Bars, Palm Tree Top",32,Plastic
2569,Antenna 8H Whip,32,Plastic
25892,Equipment Boomerang,27,Plastic
26047,Plate Special 1 x 1 Rounded with Handle,9,Plastic
2637,Technic Link 1 x 16,26,Plastic
2639,Plate 4 x 4 Corner,14,Plastic
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],21,Plastic
26601,Wedge Plate 2 x 2 Cut Corner,49,Plastic
26603,Tile 2 x 3,19,Plastic
26603pr0066,Tile 2 x 3 with Dark Tan Squares print,19,Plastic
26604,Brick Special 1 x 1 with Studs on 2 Adjacent Sides,5,Plastic
2723,Technic Disc 3 x 3,26,Plastic
27263,Tile Special 2 x 2 Corner with Cut Corner - Facet,15,Plastic
2730,Technic Brick 1 x 10 [9 Pin Holes],8,Plastic
27448,Turntable 2 x 2 Female,18,Plastic
27507,"Tile 4 x 4 Curved, Macaroni",67,Plastic
2780,Technic Pin with Friction Ridges Lengthwise and Center Slots,53,Plastic
27925,"Tile 2 x 2 Curved, Macaroni",67,Plastic
27940,Technic Pin Connector Hub with 2 Axles,12,Plastic
28192,Slope 45° 2 x 1 with 2/3 Inverted Cutout and no stud,3,Plastic
28621,Minifig Head [Plain] [Vented Stud - 2 Holes],59,Plastic
2877,Brick Special 1 x 2 with Grille,5,Plastic
28974,Minifig Neckwear Bracket [One Stud] - Reinforced,71,Plastic
29119,Slope Curved 2 x 1 with Stud Notch Right,37,Plastic
29120,Slope Curved 2 x 1 with Stud Notch Left,37,Plastic
2921,Brick Special 1 x 1 with Handle,5,Plastic
298c02,Lever Small Base with Black Lever,32,Plastic
298c04,Lever Small Base with White Lever,32,Plastic
3001,Brick 2 x 4,11,Plastic
3002,Brick 2 x 3,11,Plastic
3003,Brick 2 x 2,11,Plastic
3003pr0038,Brick 2 x 2 with White Winged Lion (Griffin) Print,11,Plastic
3003pr0103,Brick 2 x 2 with Big Ben Clock print,11,Plastic
3004,Brick 1 x 2,11,Plastic
30043,Plate Special 1 x 4 with Bar Down,9,Plastic
30044,Window 1 x 2 x 2 2/3 with Rounded Top,16,Plastic
30046,Window 1 x 2 x 2 2/3 Pane Lattice Diamond with Rounded Top,16,Plastic
3004pr0044,Brick 1 x 2 with 3 Rows of 8 Black Squares print,11,Plastic
3004pr0120,Brick 1 x 2 with Light Bluish Grey/Black Window print,11,Plastic
3004pr0121,Brick 1 x 2 with Light Bluish Grey/Black Windows print,11,Plastic
3005,Brick 1 x 1,11,Plastic
30055,Fence Spindled 1 x 4 x 2 [2 Top Studs],32,Plastic
3006,Brick 2 x 10,11,Plastic
3007,Brick 2 x 8,11,Plastic
3008,Brick 1 x 8,11,Plastic
3009,Brick 1 x 6,11,Plastic
3010,Brick 1 x 4,11,Plastic
30134,Stairs 7 x 4 x 6 Straight Open,32,Plastic
30136,Brick Special 1 x 2 Palisade [aka Log],5,Plastic
30165,"Brick Curved 2 x 2, Two Top Studs",37,Plastic
30176,"Plant, Round 1 x 1 - 3 Bamboo Leaves",76,Plastic
3020,Plate 2 x 4,14,Plastic
3021,Plate 2 x 3,14,Plastic
3022,Plate 2 x 2,14,Plastic
3023,Plate 1 x 2,14,Plastic
3024,Plate 1 x 1,14,Plastic
3024pr0013,Plate 1 x 1 with Black Square Print,14,Plastic
3027,Plate 6 x 16,14,Plastic
3028,Plate 6 x 12,14,Plastic
3029,Plate 4 x 12,14,Plastic
3030,Plate 4 x 10,14,Plastic
3031,Plate 4 x 4,14,Plastic
3032,Plate 4 x 6,14,Plastic
3033,Plate 6 x 10,14,Plastic
3034,Plate 2 x 8,14,Plastic
3035,Plate 4 x 8,14,Plastic
30350b,Tile Special 2 x 3 with 2 Clips [Thick Open O Clips],15,Plastic
30357,Plate Round Corner 3 x 3,21,Plastic
3036,Plate 6 x 8,14,Plastic
30363,Slope 18° 4 x 2,3,Plastic
30367c,"Brick Round 2 x 2 Dome Top, Hollow Stud",20,Plastic
3037,Slope 45° 2 x 4,3,Plastic
30374,Bar 4L (Lightsaber Blade / Wand),32,Plastic
30375,"Torso Mechanical, Battle Droid",60,Plastic
30377,Arm Mechanical with 2 Clips [Battle Droid],60,Plastic
3038,Slope 45° 2 x 3,3,Plastic
3039,Slope 45° 2 x 2,3,Plastic
3040b,Slope 45° 2 x 1 with Bottom Pin,3,Plastic
30414,Brick Special 1 x 4 with 4 Studs on One Side,5,Plastic
3043,Slope 45° 2 x 2 Double,3,Plastic
3044c,Slope 45° 2 x 1 Double with Inside Stud Holder,3,Plastic
3045,Slope 45° 2 x 2 Double Convex,3,Plastic
3046a,Slope 45° 2 x 2 Double Concave,3,Plastic
3049d,Slope 45° 2 x 1 Double / Inverted with Bottom Stud Holder,3,Plastic
30503,Wedge Plate 4 x 4 Cut Corner,49,Plastic
30505,Wedge 3 x 3 Cut Corner,6,Plastic
30565,Plate Round Corner 4 x 4,21,Plastic
30586,Plate Special 2 x 8 with Door Rail,9,Plastic
30602,"Slope Curved 2 x 2 with Lip, No Studs",37,Plastic
3062b,Brick Round 1 x 1 Open Stud,20,Plastic
3063b,Brick Round Corner 2 x 2 Macaroni with Stud Notch,20,Plastic
3065,Brick 1 x 2 without Bottom Tube,11,Plastic
3068b,Tile 2 x 2 with Groove,19,Plastic
3068bpr0197,Tile 2 x 2 with Sailing Ship and Moon Print,19,Plastic
3068bpr0354,Tile 2 x 2 with Colored Kitten with Party Hat Print,19,Plastic
3069b,Tile 1 x 2 with Groove,19,Plastic
3069bpr0218,Tile 1 x 2 with 'Welcome to Fabulous Las Vegas Nevada' Print,19,Plastic
3069bpr0286,Tile 1 x 2 with US Flag print,19,Plastic
3069bpr9996,"Tile 1 x 2 with Red Squares, Arrows print",19,Plastic
3070b,Tile 1 x 1 with Groove,19,Plastic
3070bpr0160,"Tile 1 x 1 with Black Cross, Dark Bluish Grey/Dark Red Button print",19,Plastic
3070bpr0191,Tile 1 x 1 with Triangle print,19,Plastic
3070bpr0192,"Tile 1 x 1 with Rainbow, Sand Red, Yellow, Dark Azure, Medium Blue, Dark Purple print",19,Plastic
3070bpr0195,Tile 1 x 1 with Unicorn Painting print,19,Plastic
3070bpr0196,"Tile 1 x 1 with Swirl, Van Gogh Painting print",19,Plastic
3070bpr0199,"Tile 1 x 1 with Rainbow, Sand Red, Yellow, Dark Azure, Medium Blue, Dark Purple, Cloud print",19,Plastic
3070bpr0213,Tile 1 x 1 with White Lines/Stripes print,19,Plastic
3070bpr9884,Tile 1 x 1 with White Star print,19,Plastic
3172,Plate Special 1 x 2 with Pin Hole On Side,9,Plastic
3176,"Plate Special 3 x 2 with Rounded End, Hole",9,Plastic
32000,Technic Brick 1 x 2 [2 Pin Holes],8,Plastic
32002,Technic Pin 3/4,53,Plastic
32013,Technic Axle and Pin Connector Angled #1,12,Plastic
32016,Technic Axle and Pin Connector Angled #3 - 157.5°,12,Plastic
32018,Technic Brick 1 x 14 [13 Pin Holes],8,Plastic
32028,Plate Special 1 x 2 with Door Rail,9,Plastic
32034,Technic Axle and Pin Connector Angled #2 - 180°,12,Plastic
32062,Technic Axle 2 Notched,46,Plastic
32064a,Technic Brick 1 x 2 with Axle Hole Type 1 [+ Opening] and Bottom Pin,8,Plastic
32073,Technic Axle 5,46,Plastic
32123b,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,54,Plastic
32124,"Technic Plate 1 x 5 with Smooth Ends, 4 Studs and Centre Axle Hole",26,Plastic
32125,Technic Plate Rotor 3 Blade with Smooth Ends and 6 Studs (Propeller),26,Plastic
32198,Technic Gear 20 Tooth Bevel,52,Plastic
32199,"Axle Hose, Soft 11L",30,Plastic
32200,"Axle Hose, Soft 12L",30,Plastic
32202,"Axle Hose, Soft 16L",30,Plastic
32235,"Axle Hose, Soft 19L",30,Plastic
32249,Technic Beam 3 x 3 L-Shape with Quarter Ellipse Thin,51,Plastic
32294,Technic Wishbone Suspension Arm 9L,25,Plastic
3245c,Brick 1 x 2 x 2 with Inside Stud Holder,11,Plastic
32474,Technic Ball Joint,26,Plastic
32532,Technic Brick 6 x 8 with 4 x 6 Opening,8,Plastic
32556,Technic Pin Long without Friction Ridges,53,Plastic
32580,"Axle Hose, Soft 7L",30,Plastic
32602,Hair Wavy and Windblown to One Side,65,Plastic
32607,"Plant, Plate 1 x 1 Round with 3 Leaves",76,Plastic
3262,"Brick Round 2 x 2 Dome Top, Vented Stud",20,Plastic
32803,Slope Curved 2 x 2 x 2/3 Inverted,37,Plastic
32828,Plate Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,9,Plastic
32952,Brick Special 1 x 1 x 1 2/3 with Studs on 1 Side,5,Plastic
3297,Slope 33° 3 x 4,3,Plastic
3298,Slope 33° 3 x 2,3,Plastic
3299,Slope 33° 2 x 4 Double,3,Plastic
3300,Slope 33° 2 x 2 Double,3,Plastic
3307,Brick Arch 1 x 6 x 2 - Thick Top with Reinforced Underside,37,Plastic
33078,Food Hot Dog / Sausage,27,Plastic
33291,"Plant, Flower, Plate Round 1 x 1 with 4 Petals",76,Plastic
33320,"Animal, Frog",28,Plastic
3386,Plate 1 x 1 x 2/3 Half Round with Side Stud,9,Plastic
33909,Plate Special 2 x 2 with Only 2 studs,9,Plastic
34103,Plate Special 1 x 3 with 2 Studs with Groove and Inside Stud Holder (Jumper),9,Plastic
3456,Plate 6 x 14,14,Plastic
3460,Plate 1 x 8,14,Plastic
3484,Bar 1L with Clip [Cut Edges and One Side Hole] [Full Clip],32,Plastic
35044,Plate Special 4 x 4 with 3 x 3 Quarter Round Cutout,21,Plastic
35299,Windscreen 3 x 6 x 1 Curved with Rectangular Stud Holder in Bottom,47,Plastic
35299pr0002,Windscreen 3 x 6 x 1 Curved with Light Bluish Gray Stripe and Dark Bluish Gray Squares Print,47,Plastic
35394pr9970,Dish 4 x 4 with Notre Dame Window print,21,Plastic
3545,"Wedge Plate 8 x 3, 8° Right",49,Plastic
35459,Tile Special 1 x 3 Inverted with Center Hole,15,Plastic
35464,Slope Double 45° 1 x 1,3,Plastic
35480,Plate Special 1 x 2 Rounded with 2 Open Studs,21,Plastic
3563,"Brick Curved 1 x 2 x 2/3 Double Curved Top, No Studs",37,Plastic
35787,Tile 45° Cut 2 x 2 (Triangle),15,Plastic
3622,Brick 1 x 3,11,Plastic
3623,Plate 1 x 3,14,Plastic
3626b,Minifig Head [Plain] [Blocked Open Stud],59,Plastic
3626c,Minifig Head [Plain] [Hollow Stud],59,Plastic
3633,Fence Lattice 1 x 4 x 1,32,Plastic
3649,Technic Gear 40 Tooth,52,Plastic
3659,Brick Arch 1 x 4,37,Plastic
3660,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",3,Plastic
3665,Slope Inverted 45° 2 x 1,3,Plastic
3666,Plate 1 x 6,14,Plastic
3673,Technic Pin without Friction Ridges Lengthwise,53,Plastic
3675,Slope 33° 3 x 3 Double Convex,3,Plastic
36752a,Equipment Wand [Individual],27,Plastic
3678b,Slope 65° 2 x 2 x 2 with Bottom Tube,3,Plastic
3679,Turntable 2 x 2 Plate - Top,18,Plastic
3680,"Turntable 2 x 2 Plate, Base",18,Plastic
36840,Bracket 1 x 1 - 1 x 1 Inverted,9,Plastic
36841,Bracket 1 x 1 - 1 x 1,9,Plastic
3685,Slope 75° 2 x 2 x 3 Double Convex,3,Plastic
3688,Slope 75° 2 x 2 x 2 Quadruple Convex,3,Plastic
3700,Technic Brick 1 x 2 [1 Pin Hole],8,Plastic
3701,Technic Brick 1 x 4 [3 Pin Holes],8,Plastic
3705,Technic Axle 4,46,Plastic
3706,Technic Axle 6,46,Plastic
3707,Technic Axle 8,46,Plastic
3708,Technic Axle 12,46,Plastic
3709,Technic Plate 2 x 4 [3 Holes],9,Plastic
3710,Plate 1 x 4,14,Plastic
37195,Wheel Cover / Hub Cap 28 Spokes 18mm D.,29,Plastic
37352,Brick Curved 1 x 2 x 1 No Studs,37,Plastic
3737,Technic Axle 10,46,Plastic
3743,Technic Gear Rack 1 x 4,52,Plastic
3747b,"Slope Inverted 33° 3 x 2, Connections between Studs, Ovoid Bottom Pin",3,Plastic
37695,"Plant, Stem with 3 Leaves and Bottom Pin",76,Plastic
37762,Equipment Candlestick,27,Plastic
3794a,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9,Plastic
3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9,Plastic
3795,Plate 2 x 6,14,Plastic
3830,Hinge Brick 1 x 4 [Upper],18,Plastic
3831,Hinge Brick 1 x 4 [Lower],18,Plastic
3832,Plate 2 x 10,14,Plastic
38320,Window Pane Latticed 1 x 2 x 2,16,Plastic
3846,Shield Triangular,73,Plastic
3857,Baseplate 16 x 32,1,Plastic
38583,Brick Special Arch 1 x 2 Jumper,37,Plastic
38585,Brick Special Arch 1 1/2 x 1 1/2 Corner,37,Plastic
38799,Equipment Cup / Teacup Saucer with Recessed Stud on Top [PLAIN],27,Plastic
3900,Equipment Signal Paddle,27,Plastic
3937,Hinge Brick 1 x 2 Base,18,Plastic
3938,Hinge Brick 1 x 2 Top Plate Thin,18,Plastic
3941,Brick Round 2 x 2 with Axle Hole,20,Plastic
3941pr0009,Brick Round 2 x 2 with Axle Hole with Dark Bluish Grey/Black Windows print,20,Plastic
3941pr0010,Brick Round 2 x 2 with Axle Hole with Dark Bluish Grey/Black Window print,20,Plastic
3941pr0011,Brick Round 2 x 2 with Axle Hole with Dark Bluish Grey/Black Window print,20,Plastic
3942c,"Cone 2 x 2 x 2, Open Stud",20,Plastic
3957a,Antenna 1 x 4 with Rounded Top,32,Plastic
3957b,Antenna 1 x 4 with Flat Top,32,Plastic
3958,Plate 6 x 6,14,Plastic
3960,Dish 4 x 4 Inverted [Radar],21,Plastic
4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),21,Plastic
4032b,Plate Round 2 x 2 with Axle Hole Type 2 (X Opening),21,Plastic
4070,Brick Special 1 x 1 with Headlight,5,Plastic
4081b,"Plate Special 1 x 1 with Clip Light, Bar Hole [Thick Ring]",9,Plastic
4085c,Plate Special 1 x 1 with Clip Vertical [Thick U Clip],9,Plastic
4150,Tile Round 2 x 2 with Bottom Cross,67,Plastic
4150pr0001,Tile Round 2 x 2 with Clock Print,67,Plastic
4151b,Plate Special 8 x 8 with Grille [Hole in Center],9,Plastic
41539,Plate 8 x 8,14,Plastic
4162,Tile 1 x 8 with Groove,19,Plastic
4162pr0001,Tile 1 x 8 with Sydney print,19,Plastic
